Edge Label,Good,Fisher Prices,New Prices,Capacity
e56,"V003_3, V003_3_dep",0.0,0.0,1.0
e57,"V003_3, V003_4",0.0,0.0,8.0
e58,"V002_2_dep, V006_26_arr",0.0,0.0,3.0
e59,"V002_2_dep, V007_40_arr",0.0,0.0,3.0
e60,"V002_2_arr, V002_2",0.0,0.0,1.0
e61,"V002_3, V002_3_dep",0.0,0.0,5.0
e62,"V002_3, V002_4",0.0,0.0,8.0
e63,"V005_3_dep, V003_27_arr",0.0,0.0,4.0
e64,"V005_3_dep, V004_31_arr",0.0,0.0,5.0
e65,"V005_3_arr, V005_3",0.0,0.0,3.0
e66,"V005_4, V005_4_dep",0.0,0.0,2.0
e67,"V005_4, V005_5",0.0,0.0,8.0
e68,"V004_3_dep, V002_12_arr",0.0,0.0,2.0
e69,"V004_3_arr, V004_3",0.0,0.0,1.0
e70,"V004_4, V004_4_dep",0.0,0.0,5.0
e71,"V004_4, V004_5",0.0,0.0,8.0
e72,"V006_3_arr, V006_3",0.0,0.0,1.0
e73,"V006_4, V006_4_dep",0.0,0.0,4.0
e74,"V006_4, V006_5",0.0,0.0,8.0
e75,"V007_3_dep, V002_41_arr",0.0,0.0,3.0
e76,"V007_3_arr, V007_3",0.0,0.0,1.0
e77,"V007_4, V007_4_dep",0.0,0.0,2.0
e78,"V007_4, V007_5",0.0,0.0,8.0
e79,"V003_3_dep, V007_47_arr",0.0,0.0,5.0
e80,"V003_3_arr, V003_3",0.0,0.0,2.0
e81,"V003_4, V003_4_dep",0.0,0.0,1.0
e82,"V003_4, V003_5",0.0,0.0,8.0
e83,"V002_3_dep, V006_27_arr",0.0,0.0,3.0
e84,"V002_3_dep, V007_41_arr",0.0,0.0,3.0
e85,"V002_3_arr, V002_3",0.0,0.0,1.0
e86,"V002_4, V002_4_dep",0.0,0.0,5.0
e87,"V002_4, V002_5",0.0,0.0,8.0
e88,"V005_4_dep, V003_28_arr",0.0,0.0,4.0
e89,"V005_4_dep, V004_32_arr",0.0,0.0,5.0
e90,"V005_4_arr, V005_4",0.0,0.0,3.0
e91,"V005_5, V005_5_dep",0.0,0.0,2.0
e92,"V005_5, V005_6",0.0,0.0,8.0
e93,"V004_4_dep, V002_13_arr",0.0,0.0,2.0
e94,"V004_4_arr, V004_4",0.0,0.0,1.0
e95,"V004_5, V004_5_dep",0.0,0.0,5.0
e96,"V004_5, V004_6",0.0,0.0,8.0
e97,"V006_4_arr, V006_4",0.0,0.0,1.0
e98,"V006_5, V006_5_dep",0.0,0.0,4.0
e99,"V006_5, V006_6",0.0,0.0,8.0
e100,"V007_4_dep, V002_42_arr",0.0,0.0,3.0
e101,"V007_4_arr, V007_4",0.0,0.0,1.0
e102,"V007_5, V007_5_dep",0.0,0.0,2.0
e103,"V007_5, V007_6",0.0,0.0,8.0
e104,"V003_4_dep, V007_48_arr",0.0,0.0,5.0
e105,"V003_4_arr, V003_4",0.0,0.0,2.0
e106,"V003_5, V003_5_dep",0.0,0.0,1.0
e107,"V003_5, V003_6",0.0,0.0,8.0
e108,"V002_4_dep, V006_28_arr",0.0,0.0,3.0
e109,"V002_4_dep, V007_42_arr",0.0,0.0,3.0
e110,"V002_4_arr, V002_4",0.0,0.0,1.0
e111,"V002_5, V002_5_dep",0.0,0.0,5.0
e112,"V002_5, V002_6",0.0,0.0,8.0
e113,"V005_5_dep, V003_29_arr",0.0,0.0,4.0
e114,"V005_5_dep, V004_33_arr",0.0,0.0,5.0
e115,"V005_5_arr, V005_5",0.0,0.0,3.0
e116,"V005_6, V005_6_dep",0.0,0.0,2.0
e117,"V005_6, V005_7",0.0,0.0,8.0
e118,"V004_5_dep, V002_14_arr",0.0,0.0,2.0
e119,"V004_5_arr, V004_5",0.0,0.0,1.0
e120,"V004_6, V004_6_dep",0.0,0.0,5.0
e121,"V004_6, V004_7",0.0,0.0,8.0
e122,"V006_5_arr, V006_5",0.0,0.0,1.0
e123,"V006_6, V006_6_dep",0.0,0.0,4.0
e124,"V006_6, V006_7",0.0,0.0,8.0
e125,"V007_5_dep, V002_43_arr",0.0,0.0,3.0
e126,"V007_5_arr, V007_5",0.0,0.0,1.0
e127,"V007_6, V007_6_dep",0.0,0.0,2.0
e128,"V007_6, V007_7",0.0,0.0,8.0
e129,"V003_5_dep, V007_49_arr",0.0,0.0,5.0
e130,"V003_5_arr, V003_5",0.0,0.0,2.0
e131,"V003_6, V003_6_dep",0.0,0.0,1.0
e132,"V003_6, V003_7",0.0,0.0,8.0
e133,"V002_5_dep, V006_29_arr",0.0,0.0,3.0
e134,"V002_5_dep, V007_43_arr",0.0,0.0,3.0
e135,"V002_5_arr, V002_5",0.0,0.0,1.0
e136,"V002_6, V002_6_dep",0.0,0.0,5.0
e137,"V002_6, V002_7",0.0,0.0,8.0
e138,"V005_6_dep, V003_30_arr",0.0,0.0,4.0
e139,"V005_6_dep, V004_34_arr",0.0,0.0,5.0
e140,"V005_6_arr, V005_6",0.0,0.0,3.0
e141,"V005_7, V005_7_dep",0.0,0.0,2.0
e142,"V005_7, V005_8",0.0,0.0,8.0
e143,"V004_6_dep, V002_15_arr",0.0,0.0,2.0
e144,"V004_6_arr, V004_6",0.0,0.0,1.0
e145,"V004_7, V004_7_dep",0.0,0.0,5.0
e146,"V004_7, V004_8",0.0,0.0,8.0
e147,"V006_6_arr, V006_6",0.0,0.0,1.0
e148,"V006_7, V006_7_dep",0.0,0.0,4.0
e149,"V006_7, V006_8",0.0,0.0,8.0
e150,"V007_6_dep, V002_44_arr",0.0,0.0,3.0
e151,"V007_6_arr, V007_6",0.0,0.0,1.0
e152,"V007_7, V007_7_dep",0.0,0.0,2.0
e153,"V007_7, V007_8",0.0,0.0,8.0
e154,"V003_6_dep, V007_50_arr",0.0,0.0,5.0
e155,"V003_6_arr, V003_6",0.0,0.0,2.0
e156,"V003_7, V003_7_dep",0.0,0.0,1.0
e157,"V003_7, V003_8",0.0,0.0,8.0
e158,"V002_6_dep, V006_30_arr",0.0,0.0,3.0
e159,"V002_6_dep, V007_44_arr",0.0,0.0,3.0
e160,"V002_6_arr, V002_6",0.0,0.0,1.0
e161,"V002_7, V002_7_dep",0.0,0.0,5.0
e162,"V002_7, V002_8",0.0,0.0,8.0
e163,"V005_7_dep, V003_31_arr",0.0,0.0,4.0
e164,"V005_7_dep, V004_35_arr",0.0,0.0,5.0
e165,"V005_7_arr, V005_7",0.0,0.0,3.0
e166,"V005_8, V005_8_dep",0.0,0.0,2.0
e167,"V005_8, V005_9",0.0,0.0,8.0
e168,"V004_7_dep, V002_16_arr",0.0,0.0,2.0
e169,"V004_7_arr, V004_7",0.0,0.0,1.0
e170,"V004_8, V004_8_dep",0.0,0.0,5.0
e171,"V004_8, V004_9",0.0,0.0,8.0
e172,"V006_7_arr, V006_7",0.0,0.0,1.0
e173,"V006_8, V006_8_dep",0.0,0.0,4.0
e174,"V006_8, V006_9",0.0,0.0,8.0
e175,"V007_7_dep, V002_45_arr",0.0,0.0,3.0
e176,"V007_7_arr, V007_7",0.0,0.0,1.0
e177,"V007_8, V007_8_dep",0.0,0.0,2.0
e178,"V007_8, V007_9",0.0,0.0,8.0
e179,"V003_7_dep, V007_51_arr",0.0,0.0,5.0
e180,"V003_7_arr, V003_7",0.0,0.0,2.0
e181,"V003_8, V003_8_dep",0.0,0.0,1.0
e182,"V003_8, V003_9",0.0,0.0,8.0
e183,"V002_7_dep, V006_31_arr",0.0,0.0,3.0
e184,"V002_7_dep, V007_45_arr",0.0,0.0,3.0
e185,"V002_7_arr, V002_7",0.0,0.0,1.0
e186,"V002_8, V002_8_dep",0.0,0.0,5.0
e187,"V002_8, V002_9",0.0,0.0,8.0
e188,"V005_8_dep, V003_32_arr",0.0,0.0,4.0
e189,"V005_8_dep, V004_36_arr",0.0,0.0,5.0
e190,"V005_8_arr, V005_8",0.0,0.0,3.0
e191,"V005_9, V005_9_dep",0.0,0.0,2.0
e192,"V005_9, V005_10",0.0,0.0,8.0
e193,"V004_8_dep, V002_17_arr",0.0,0.0,2.0
e194,"V004_8_arr, V004_8",0.0,0.0,1.0
e195,"V004_9, V004_9_dep",0.0,0.0,5.0
e196,"V004_9, V004_10",0.0,0.0,8.0
e197,"V006_8_arr, V006_8",0.0,0.0,1.0
e198,"V006_9, V006_9_dep",0.0,0.0,4.0
e199,"V006_9, V006_10",0.0,0.0,8.0
e200,"V007_8_dep, V002_46_arr",0.0,0.0,3.0
e201,"V007_8_arr, V007_8",0.0,0.0,1.0
e202,"V007_9, V007_9_dep",0.0,0.0,2.0
e203,"V007_9, V007_10",0.0,0.0,8.0
e204,"V003_8_dep, V007_52_arr",0.0,0.0,5.0
e205,"V003_8_arr, V003_8",0.0,0.0,2.0
e206,"V003_9, V003_9_dep",0.0,0.0,1.0
e207,"V003_9, V003_10",0.0,0.0,8.0
e208,"V002_8_dep, V006_32_arr",0.0,0.0,3.0
e209,"V002_8_dep, V007_46_arr",0.0,0.0,3.0
e210,"V002_8_arr, V002_8",0.0,0.0,1.0
e211,"V002_9, V002_9_dep",0.0,0.0,5.0
e212,"V002_9, V002_10",0.0,0.0,8.0
e213,"V005_9_dep, V003_33_arr",0.0,0.0,4.0
e214,"V005_9_dep, V004_37_arr",0.0,0.0,5.0
e215,"V005_9_arr, V005_9",0.0,0.0,3.0
e216,"V005_10, V005_10_dep",0.0,0.0,2.0
e217,"V005_10, V005_11",0.0,0.0,8.0
e218,"V004_9_dep, V002_18_arr",0.0,0.0,2.0
e219,"V004_9_arr, V004_9",0.0,0.0,1.0
e220,"V004_10, V004_10_dep",0.0,0.0,5.0
e221,"V004_10, V004_11",0.0,0.0,8.0
e222,"V006_9_arr, V006_9",0.0,0.0,1.0
e223,"V006_10, V006_10_dep",0.0,0.0,4.0
e224,"V006_10, V006_11",0.0,0.0,8.0
e225,"V007_9_dep, V002_47_arr",0.0,0.0,3.0
e226,"V007_9_arr, V007_9",0.0,0.0,1.0
e227,"V007_10, V007_10_dep",0.0,0.0,2.0
e228,"V007_10, V007_11",0.0,0.0,8.0
e229,"V003_9_dep, V007_53_arr",0.0,0.0,5.0
e230,"V003_9_arr, V003_9",0.0,0.0,2.0
e231,"V003_10, V003_10_dep",0.0,0.0,1.0
e232,"V003_10, V003_11",0.0,0.0,8.0
e233,"V002_9_dep, V006_33_arr",0.0,0.0,3.0
e234,"V002_9_dep, V007_47_arr",0.0,0.0,3.0
e235,"V002_9_arr, V002_9",0.0,0.0,1.0
e236,"V002_10, V002_10_dep",0.0,0.0,5.0
e237,"V002_10, V002_11",0.0,0.0,8.0
e238,"V005_10_dep, V003_34_arr",0.0,0.0,4.0
e239,"V005_10_dep, V004_38_arr",0.0,0.0,5.0
e240,"V005_10_arr, V005_10",0.0,0.0,3.0
e241,"V005_11, V005_11_dep",0.0,0.0,2.0
e242,"V005_11, V005_12",0.0,0.0,8.0
e243,"V004_10_dep, V002_19_arr",0.0,0.0,2.0
e244,"V004_10_arr, V004_10",0.0,0.0,1.0
e245,"V004_11, V004_11_dep",0.0,0.0,5.0
e246,"V004_11, V004_12",0.0,0.0,8.0
e247,"V006_10_arr, V006_10",0.0,0.0,1.0
e248,"V006_11, V006_11_dep",0.0,0.0,4.0
e249,"V006_11, V006_12",0.0,0.0,8.0
e250,"V007_10_dep, V002_48_arr",0.0,0.0,3.0
e251,"V007_10_arr, V007_10",0.0,0.0,1.0
e252,"V007_11, V007_11_dep",0.0,0.0,2.0
e253,"V007_11, V007_12",0.0,0.0,8.0
e254,"V003_10_dep, V007_54_arr",0.0,0.0,5.0
e255,"V003_10_arr, V003_10",0.0,0.0,2.0
e256,"V003_11, V003_11_dep",0.0,0.0,1.0
e257,"V003_11, V003_12",0.0,0.0,8.0
e258,"V002_10_dep, V006_34_arr",0.0,0.0,3.0
e259,"V002_10_dep, V007_48_arr",0.0,0.0,3.0
e260,"V002_10_arr, V002_10",0.0,0.0,1.0
e261,"V002_11, V002_11_dep",0.0,0.0,5.0
e262,"V002_11, V002_12",0.0,0.0,8.0
e263,"V005_11_dep, V003_35_arr",0.0,0.0,4.0
e264,"V005_11_dep, V004_39_arr",0.0,0.0,5.0
e265,"V005_11_arr, V005_11",0.0,0.0,3.0
e266,"V005_12, V005_12_dep",0.0,0.0,2.0
e267,"V005_12, V005_13",0.0,0.0,8.0
e268,"V004_11_dep, V002_20_arr",0.0,0.0,2.0
e269,"V004_11_arr, V004_11",0.0,0.0,1.0
e270,"V004_12, V004_12_dep",0.0,0.0,5.0
e271,"V004_12, V004_13",0.0,0.0,8.0
e272,"V006_11_arr, V006_11",0.0,0.0,1.0
e273,"V006_12, V006_12_dep",0.0,0.0,4.0
e274,"V006_12, V006_13",0.0,0.0,8.0
e275,"V007_11_dep, V002_49_arr",0.0,0.0,3.0
e276,"V007_11_arr, V007_11",0.0,0.0,1.0
e277,"V007_12, V007_12_dep",0.0,0.0,2.0
e278,"V007_12, V007_13",0.0,0.0,8.0
e279,"V003_11_dep, V007_55_arr",0.0,0.0,5.0
e280,"V003_11_arr, V003_11",0.0,0.0,2.0
e281,"V003_12, V003_12_dep",0.0,0.0,1.0
e282,"V003_12, V003_13",0.0,0.0,8.0
e283,"V002_11_dep, V006_35_arr",0.0,0.0,3.0
e284,"V002_11_dep, V007_49_arr",0.0,0.0,3.0
e285,"V002_11_arr, V002_11",0.0,0.0,1.0
e286,"V002_12, V002_12_dep",0.0,0.0,5.0
e287,"V002_12, V002_13",0.0,0.0,8.0
e288,"V005_12_dep, V003_36_arr",0.0,0.0,4.0
e289,"V005_12_dep, V004_40_arr",0.0,0.0,5.0
e290,"V005_12_arr, V005_12",0.0,0.0,3.0
e291,"V005_13, V005_13_dep",0.0,0.0,2.0
e292,"V005_13, V005_14",0.0,0.0,8.0
e293,"V004_12_dep, V002_21_arr",0.0,0.0,2.0
e294,"V004_12_arr, V004_12",0.0,0.0,1.0
e295,"V004_13, V004_13_dep",0.0,0.0,5.0
e296,"V004_13, V004_14",0.0,0.0,8.0
e297,"V006_12_arr, V006_12",0.0,0.0,1.0
e298,"V006_13, V006_13_dep",0.0,0.0,4.0
e299,"V006_13, V006_14",0.0,0.0,8.0
e300,"V007_12_dep, V002_50_arr",0.0,0.0,3.0
