Edge Label, Good, Fisher Prices, New Prices, Capacity
e246: V005_4_arr, V005_4, 0.0, 0.0, 1.0

e247: V005_5, V005_5_dep, 0.0, 0.0, 5.0

e248: V005_5, V005_6, 0.0, 0.0, 8.0

e249: V006_4_dep, V001_25_arr, 0.0, 0.0, 5.0

e250: V006_4_dep, V002_28_arr, 0.0, 0.0, 2.0

e251: V006_4_dep, V003_26_arr, 0.0, 0.0, 3.0

e252: V006_4_dep, V004_32_arr, 0.0, 0.0, 2.0

e253: V006_4_dep, V005_19_arr, 0.0, 0.0, 2.0

e254: V006_4_dep, V007_64_arr, 0.0, 0.0, 4.0

e255: V006_4_arr, V006_4, 0.0, 0.0, 1.0

e256: V006_5, V006_5_dep, 0.0, 0.0, 2.0

e257: V006_5, V006_6, 0.0, 0.0, 8.0

e258: V007_4_dep, V001_46_arr, 0.0, 0.0, 2.0

e259: V007_4_dep, V002_42_arr, 0.0, 0.0, 3.0

e260: V007_4_dep, V003_48_arr, 0.0, 0.0, 2.0

e261: V007_4_dep, V004_43_arr, 0.0, 0.0, 4.0

e262: V007_4_dep, V005_54_arr, 0.0, 0.0, 3.0

e263: V007_4_dep, V006_64_arr, 0.0, 0.0, 5.0

e264: V007_4_arr, V007_4, 0.0, 0.0, 2.0

e265: V007_5, V007_5_dep, 0.0, 0.0, 2.0

e266: V007_5, V007_6, 0.0, 0.0, 8.0

e267: V001_5_dep, V002_10_arr, 0.0, 0.0, 3.0

e268: V001_5_dep, V003_9_arr, 0.0, 0.0, 2.0

e269: V001_5_dep, V004_13_arr, 0.0, 0.0, 3.0

e270: V001_5_dep, V005_26_arr, 0.0, 0.0, 4.0

e271: V001_5_dep, V006_26_arr, 0.0, 0.0, 2.0

e272: V001_5_dep, V007_47_arr, 0.0, 0.0, 4.0

e273: V001_5_arr, V001_5, 0.0, 0.0, 1.0

e274: V001_6, V001_6_dep, 0.0, 0.0, 5.0

e275: V001_6, V001_7, 0.0, 0.0, 8.0

e276: V002_5_dep, V001_10_arr, 0.0, 0.0, 3.0

e277: V002_5_dep, V003_13_arr, 0.0, 0.0, 2.0

e278: V002_5_dep, V004_14_arr, 0.0, 0.0, 4.0

e279: V002_5_dep, V005_26_arr, 0.0, 0.0, 3.0

e280: V002_5_dep, V006_29_arr, 0.0, 0.0, 2.0

e281: V002_5_dep, V007_43_arr, 0.0, 0.0, 2.0

e282: V002_5_arr, V002_5, 0.0, 0.0, 2.0

e283: V002_6, V002_6_dep, 0.0, 0.0, 2.0

e284: V002_6, V002_7, 0.0, 0.0, 8.0

e285: V003_5_dep, V001_9_arr, 0.0, 0.0, 3.0

e286: V003_5_dep, V002_13_arr, 0.0, 0.0, 2.0

